Brian Hernandez | Zeus | Poodle | 7 | 39 | 11.13 | 17/04/2026 12:13 a. m.
Valeria Jones | Jack | German Shepear | 18 | 80 | 19.46 | 25/04/2026 10:50 a. m.
Matias Allen | Zeus | Poodle | 5 | 31 | 13.44 | 12/04/2026 11:32 p. m.
Sarah White | Rocky | French Bull dog | 12 | 56 | 12.9 | 13/04/2026 04:02 p. m.
Timothy Perez | Bella | German Shepherd | 18 | 80 | 27.3 | 14/04/2026 03:18 a. m.
Linda Miller | Max | Golden Retriver | 17 | 76 | 24.97 | 23/04/2026 07:52 a. m.
Oliver Brown | Daisy | Siberian Husky | 4 | 27 | 22.22 | 09/04/2026 09:32 p. m.
John Jackson | Cooper | Chihuahua | 6 | 35 | 3.86 | 28/04/2026 06:22 p. m.
Steven Anderson | Duke | French Buldog | 13 | 60 | 10.27 | 11/04/2026 08:50 a. m.
emiliano martin | Max | Chihuahua | 7 | 39 | 3.15 | 16/04/2026 04:10 a. m.
Kenneth Williams | Bella | Siberian Husky | 8 | 43 | 19.74 | 20/04/2026 12:36 a. m.
Robert Jones | Jack | Beagle | 14 | 64 | 9.36 | 23/04/2026 04:38 p. m.
Adela Gonzalez | Bella | Siberian Huskey | 4 | 27 | 6.24 | 14/04/2026 10:54 a. m.
David Johnson | Luna | Poodle | 16 | 72 | 5.47 | 14/04/2026 08:45 p. m.
Nicolas Rodriguez | Daisy | Gold Retiever | 18 | 80 | 16.75 | 15/04/2026 02:21 p. m.
Elizabeth Perez | Lola | German Shepherd | 18 | 80 | 20.5 | 10/04/2026 04:20 p. m.
Linda Wright | Bruno | French Buldog | 2 | 19 | 10.2 | 07/05/2026 12:30 p. m.
Susan Hernandez | Toby | golden retriever | 16 | 72 | 24.33 | 15/04/2026 11:40 p. m.
Michael King | Duke | German Sheperd | 18 | 80 | 6.41 | 02/05/2026 05:55 p. m.
Harper King | Jack | French Bulldog | 18 | 80 | 9.14 | 29/04/2026 07:27 p. m.
DANIELA RODRIGUEZ | Bruno | Golden Retriever | 10 | 48 | 29.02 | 18/04/2026 04:08 p. m.
Oliver Torres | Daisy | French Bulldog | 18 | 80 | 13.88 | 06/05/2026 07:45 p. m.
Ximena Anderson | Thor | Beagle | 0 | 0 | 10.65 | 05/05/2026 03:53 p. m.
Charles Wright | Luna | Dachshund | 18 | 80 | 9.16 | 19/04/2026 11:24 p. m.
Linda Lopez | Molly | Poodle | 18 | 80 | 17.87 | 04/05/2026 06:57 a. m.
Emma Scott | Molly | Chihuahua | 18 | 80 | 3.51 | 06/05/2026 08:47 a. m.
Isabella Anderson | Coco | Beagle | 18 | 80 | 11.91 | 15/04/2026 06:16 a. m.
Mia Thompson | Bella | Golden Retriever | 4 | 27 | 23.46 | 17/04/2026 06:57 a. m.
Luciana Thomas | Thor | French Bulldog | 18 | 80 | 8.66 | 28/04/2026 04:21 a. m.
Ethan Smith | Bruno | Dachshund | 18 | 80 | 8.38 | 07/05/2026 02:10 a. m.
Nicolas Lopez | Molly | beagle | 7 | 39 | 11.62 | 03/05/2026 12:56 p. m.
Thomas Sanchez | Max | Poodle | 18 | 80 | 10.92 | 03/05/2026 01:19 a. m.
william scott | Daisy | Beagle | 18 | 80 | 14.25 | 02/05/2026 10:59 a. m.
George Sanchez | Duke | Beagle | 18 | 80 | 10.16 | 24/04/2026 06:46 a. m.
Ricardo Taylor | Molly | Poodle | 2 | 19 | 16.69 | 27/04/2026 11:55 p. m.
Gabriela Smith | Luna | Chihuahua | 18 | 80 | 2.91 | 03/05/2026 09:08 p. m.
William Gonzalez | Coco | Golden Retriever | 17 | 76 | 29.1 | 20/04/2026 05:31 p. m.
Camila Perez | Thor | Gold Retiever | 18 | 80 | 7.81 | 05/05/2026 04:46 a. m.
Jessica Thomas | Bruno | Beagle | 18 | 80 | 10.48 | 11/04/2026 06:57 a. m.
Adela Jackson | Cooper | Dachshund | 18 | 80 | 8.69 | 24/04/2026 05:00 p. m.
Matias Miller | Bruno | Chihuahua | 5 | 31 | 1.81 | 27/04/2026 06:09 p. m.
Mariana Perez | Molly | chiuahua | 18 | 80 | 14.64 | 12/04/2026 11:14 a. m.
Matthew Jones | MAX | Beagle | 3 | 23 | 13.8 | 27/04/2026 09:22 a. m.
daniela smith | Max | Siberian Husky | 18 | 80 | 25.4 | 20/04/2026 03:47 a. m.
Victoria Brown | Thor | Golden Retriever | 12 | 56 | 20.73 | 25/04/2026 08:19 a. m.
Steven Lopez | Coco | German Shepear | 17 | 76 | 5.86 | 14/04/2026 03:30 a. m.
Donald Martinez | Daisy | Dachshund | 6 | 35 | 9.14 | 10/04/2026 04:48 a. m.
Daniel Martinez | Molly | Dachshund | 18 | 80 | 8.12 | 14/04/2026 06:59 a. m.
Fernando Thomas | Bella | French Bulldog | 18 | 80 | 10.59 | 23/04/2026 11:27 p. m.
RICHARD MARTIN | Luna | Beagle | 18 | 80 | 13.34 | 21/04/2026 08:33 p. m.
George Wilson | Lola | Beagle | 18 | 80 | 14.18 | 16/04/2026 08:16 p. m.
Andrew Wright | Toby | Chihuahua | 4 | 27 | 1.55 | 28/04/2026 04:28 a. m.
Brian Perez | Max | Dachshund | 7 | 39 | 6.22 | 17/04/2026 11:15 p. m.
Diego Wright | Lola | Poodle | 17 | 76 | 18.87 | 26/04/2026 11:32 p. m.
Charlotte Scott | Bruno | Beagle | 18 | 80 | 8.5 | 23/04/2026 04:01 p. m.
Kevin Smith | Luna | German Shepherd | 18 | 80 | 27.02 | 09/04/2026 07:54 p. m.
Nicolas Thomas | Daisy | Poodle | 2 | 19 | 9.84 | 15/04/2026 07:00 a. m.
Linda Young | Lola | Dachshund | 5 | 31 | 4.32 | 19/04/2026 02:54 a. m.
NICOLAS BROWN | Jack | Poodle | 18 | 80 | 16.91 | 30/04/2026 01:57 a. m.
Karen Brown | Daisy | german sheperd | 8 | 43 | 14.98 | 29/04/2026 06:16 p. m.
Charles Thomas | Daisy | Beagle | 7 | 39 | 13.84 | 20/04/2026 01:41 a. m.
Edward Garcia | Bella | Chihuahua | 18 | 80 | 3.59 | 07/05/2026 10:48 a. m.
Victoria Thompson | Thor | Beagle | 2 | 19 | 14.95 | 26/04/2026 02:53 a. m.
Matthew Brown | Bella | Siberian Huskey | 17 | 76 | 12.67 | 15/04/2026 06:19 p. m.
Sofía Thomas | Jack | Golden Retriever | 18 | 80 | 26.13 | 29/04/2026 04:34 a. m.
Harper Scott | Jack | German Shepherd | 10 | 48 | 27.44 | 06/05/2026 11:12 a. m.
Adela Garcia | Rocky | Siberian Husky | 1 | 13 | 26.14 | 13/04/2026 02:11 a. m.
John Williams | Bella | Beagle | 18 | 80 | 10.56 | 12/04/2026 10:43 p. m.
Joaquin Thompson | Jack | Chihuahua | 2 | 19 | 3.85 | 25/04/2026 12:46 a. m.
Martina Miller | Daisy | Beagle | 13 | 60 | 13.53 | 20/04/2026 02:07 p. m.
Donald Brown | LUNA | Golden Retriever | 9 | 47 | 20.17 | 12/04/2026 10:36 a. m.
Jeffrey Anderson | Thor | French Bulldog | 2 | 19 | 9.55 | 18/04/2026 07:20 p. m.
Karen Young | Zeus | Poodle | 6 | 35 | 9.28 | 04/05/2026 01:31 a. m.
Robert Williams | Bruno | Siberian Husky | 10 | 48 | 26.16 | 10/04/2026 06:12 p. m.
Patricia Thompson | Max | Chihuahua | 13 | 60 | 3.1 | 14/04/2026 08:55 a. m.
Mary Smith | Duke | French Bulldog | 17 | 76 | 12.17 | 17/04/2026 01:25 a. m.
Sarah Gonzalez | Bruno | French Buldog | 12 | 56 | 10.14 | 16/04/2026 08:07 a. m.
Martina Davis | Lola | French Bull dog | 12 | 56 | 9.8 | 21/04/2026 09:20 a. m.
Adela White | Daisy | Siberian Husky | 18 | 80 | 25.07 | 14/04/2026 02:21 a. m.
CHARLES SCOTT | Bella | Poodle | 18 | 80 | 5.53 | 28/04/2026 11:22 a. m.
Beatriz Wilson | duke | Golden Retriever | 18 | 80 | 20.75 | 22/04/2026 11:00 a. m.
Victoria Jones | Lola | Chiuahua | 12 | 56 | 7.4 | 17/04/2026 05:30 p. m.
Christopher Rodriguez | Molly | beaggle | 9 | 47 | 13.52 | 18/04/2026 07:15 a. m.
Linda Scott | Thor | Golden Retriever | 5 | 31 | 27.05 | 05/05/2026 06:44 p. m.
Steven Jones | Thor | Poodle | 18 | 80 | 6.96 | 12/04/2026 05:09 p. m.
LIAM THOMPSON | Toby | Golden Retriever | 8 | 43 | 23.88 | 02/05/2026 04:04 a. m.
Anthony Brown | Rocky | Golden Retriever | 1 | 13 | 26.75 | 03/05/2026 06:23 p. m.
Isabella Garcia | COOPER | Beagle | 18 | 80 | 11.77 | 20/04/2026 12:10 p. m.
Anthony Martinez | Coco | Siberian Husky | 13 | 60 | 19.81 | 23/04/2026 08:21 p. m.
Daniela Wilson | Lola | Golden Retriever | 18 | 80 | 28.64 | 10/04/2026 05:37 a. m.
Oliver Harris | Cooper | Beagle | 11 | 52 | 11.6 | 21/04/2026 07:43 a. m.
Victoria Wilson | Max | Poodle | 6 | 35 | 5.33 | 30/04/2026 10:33 a. m.
Christopher Brown | Daisy | Golden Retriever | 5 | 31 | 26.93 | 21/04/2026 11:56 p. m.
Sarah Thompson | Max | Golden Retriever | 15 | 68 | 29.57 | 27/04/2026 09:32 a. m.
Joaquin Wilson | Thor | Poodle | 18 | 80 | 9.04 | 03/05/2026 01:28 a. m.
Emiliano Wright | Max | Siberian Husky | 18 | 80 | 18.74 | 26/04/2026 07:13 p. m.
Victoria Harris | Toby | Beagle | 18 | 80 | 9.58 | 28/04/2026 08:57 a. m.
Gabriela Gonzalez | duke | Siberian Husky | 18 | 80 | 21.22 | 12/04/2026 03:07 p. m.
Joseph Davis | Lola | golden retriever | 1 | 13 | 26.04 | 22/04/2026 12:25 p. m.
David Torres | Cooper | Beagle | 18 | 80 | 13.95 | 15/04/2026 03:54 p. m.
Matthew Miller | Bella | podle | 18 | 80 | 13.56 | 01/05/2026 03:12 p. m.
Michael Perez | Coco | French Bulldog | 0 | 0 | 10.44 | 24/04/2026 03:01 a. m.
Anthony Jackson | Toby | beagle | 18 | 80 | 10.12 | 28/04/2026 08:04 p. m.
Ricardo Young | Rocky | French Bulldog | 15 | 68 | 11.16 | 02/05/2026 11:06 a. m.
Michael Jones | Cooper | Dachshund | 18 | 80 | 8.89 | 15/04/2026 07:34 p. m.
Kenneth White | Max | Poodle | 18 | 80 | 10.09 | 20/04/2026 01:18 a. m.
Adela Martin | Bella | Beagle | 18 | 80 | 12.53 | 13/04/2026 01:57 p. m.
Ronald Martinez | Zeus | German Shepherd | 18 | 80 | 19.11 | 18/04/2026 03:25 a. m.
MIA GONZALEZ | Cooper | Dachshund | 18 | 80 | 7.79 | 18/04/2026 09:25 p. m.
Andrew Smith | Molly | Beagle | 18 | 80 | 12.81 | 15/04/2026 01:55 a. m.
Edward Harris | Toby | Beagle | 13 | 60 | 8.23 | 05/05/2026 05:57 p. m.
Robert Garcia | DUKE | Poodle | 13 | 60 | 15.63 | 07/05/2026 04:56 a. m.
Elizabeth Jones | Lola | Golden Retriever | 16 | 72 | 26.11 | 30/04/2026 04:44 a. m.
RONALD HARRIS | JACK | Golden Retriever | 1 | 13 | 20.41 | 17/04/2026 07:23 a. m.
Martina Hernandez | Cooper | Chihuahua | 11 | 52 | 3.51 | 24/04/2026 03:14 p. m.
Timothy Martinez | Max | Golden Retriever | 16 | 72 | 27.71 | 21/04/2026 08:53 a. m.
Victoria Martin | Molly | Podle | 12 | 56 | 5.27 | 27/04/2026 11:54 a. m.
Santiago Jackson | Rocky | German Shepherd | 18 | 80 | 24.29 | 11/04/2026 07:29 p. m.
Victoria Young | Duke | Siberian Huskey | 18 | 80 | 5.75 | 16/04/2026 04:46 p. m.
Victoria Johnson | Bella | Chihuahua | 18 | 80 | 3.63 | 20/04/2026 07:41 a. m.
Christopher Taylor | Bruno | Beagle | 18 | 80 | 12.8 | 19/04/2026 10:06 a. m.
Paul Jackson | Duke | Golden Retrevier | 10 | 48 | 24.46 | 20/04/2026 08:49 p. m.
Ximena Rodriguez | Max | Poodle | 5 | 31 | 4.2 | 23/04/2026 03:58 a. m.
Camila King | Toby | French Bulldog | 18 | 80 | 8.27 | 01/05/2026 06:02 p. m.
Adela Miller | Coco | Dachshund | 9 | 47 | 5.99 | 27/04/2026 06:35 p. m.
paul thomas | DAISY | French Bulldog | 7 | 39 | 9.92 | 20/04/2026 02:56 a. m.
emma miller | Toby | Beaggle | 15 | 68 | 9.04 | 03/05/2026 02:24 a. m.
Sebastian Martin | Thor | Golden Retriever | 18 | 80 | 24.21 | 28/04/2026 01:25 p. m.
Jason Allen | Coco | German Shepherd | 18 | 80 | 19.57 | 17/04/2026 01:53 p. m.
Amelia Brown | Toby | German Shepherd | 18 | 80 | 29.09 | 20/04/2026 02:17 a. m.
Victoria Lopez | Coco | Golden Retrevier | 18 | 80 | 20.53 | 19/04/2026 03:52 a. m.
Linda Jones | Toby | German Shepherd | 4 | 27 | 22.61 | 23/04/2026 07:22 a. m.
martina king | Bruno | German Shepherd | 4 | 27 | 18.58 | 12/04/2026 01:52 p. m.
sofía martinez | Max | Golden Retriever | 18 | 80 | 26.05 | 18/04/2026 10:25 a. m.
Richard Gonzalez | Daisy | Chihuahua | 16 | 72 | 2.57 | 25/04/2026 03:57 p. m.
Anthony Torres | Thor | Siberian Huski | 16 | 72 | 9.92 | 27/04/2026 05:59 a. m.
Liam Hernandez | Bella | Siberian Husky | 2 | 19 | 19.22 | 03/05/2026 10:17 p. m.
Joseph Thompson | Coco | Chihuahua | 18 | 80 | 1.64 | 27/04/2026 02:59 p. m.
Isabella Gonzalez | Lola | Chiuahua | 4 | 27 | 10.04 | 22/04/2026 10:52 p. m.
Luciana Davis | Duke | Siberian Huski | 14 | 64 | 6.65 | 18/04/2026 03:46 p. m.
Nancy Taylor | Bruno | Dachshund | 18 | 80 | 7.95 | 18/04/2026 09:06 a. m.
Sarah Wilson | Jack | Poodle | 17 | 76 | 16.28 | 26/04/2026 07:17 p. m.
Luciana Martinez | Daisy | Golden Retriever | 18 | 80 | 20.39 | 04/05/2026 03:58 p. m.
Patricia King | Toby | Beagle | 18 | 80 | 8.32 | 05/05/2026 07:58 p. m.
Isabella White | MAX | Siberian Husky | 18 | 80 | 26.75 | 17/04/2026 06:53 p. m.
Sarah Harris | Thor | Siberian Husky | 18 | 80 | 25.24 | 06/05/2026 11:10 a. m.
Joaquin Martinez | Jack | Siberian Husky | 18 | 80 | 21.49 | 18/04/2026 04:40 a. m.
Camila Thomas | Molly | Poodle | 18 | 80 | 8.47 | 06/05/2026 06:31 a. m.
KEVIN THOMPSON | Toby | Poodle | 14 | 64 | 5.95 | 16/04/2026 08:27 a. m.
timothy hernandez | Molly | Siberian Husky | 11 | 52 | 19.2 | 06/05/2026 01:45 p. m.
Brian Wilson | Luna | Golden Retriever | 17 | 76 | 21.63 | 14/04/2026 10:12 a. m.
Ethan Thomas | Molly | CHIHUAHUA | 18 | 80 | 2.57 | 25/04/2026 11:47 p. m.
Susan Garcia | Coco | german shepherd | 9 | 47 | 19.69 | 29/04/2026 03:17 p. m.
Beatriz Thomas | Toby | Golden Retriver | 11 | 52 | 21.23 | 28/04/2026 10:41 p. m.
Jeffrey Martin | Thor | Siberian Husky | 5 | 31 | 22.12 | 26/04/2026 05:34 p. m.
Charles Wilson | Molly | Golden Retriever | 18 | 80 | 24.25 | 13/04/2026 02:29 a. m.
Luciana Gonzalez | Bruno | Chihuahua | 11 | 52 | 3.93 | 25/04/2026 09:27 a. m.
Mia Jones | Coco | French Bulldog | 6 | 35 | 12.4 | 28/04/2026 11:46 a. m.
Susan Martinez | Bruno | Siberian Husky | 16 | 72 | 24.57 | 06/05/2026 09:44 a. m.
emma lopez | Toby | Beagle | 3 | 23 | 9.82 | 11/04/2026 09:55 p. m.
Ethan Young | Toby | Dachshund | 0 | 0 | 8.26 | 29/04/2026 03:18 a. m.
Christopher Sanchez | Coco | Dashchund | 18 | 80 | 15.79 | 21/04/2026 03:37 a. m.
Daniel Williams | Luna | Podle | 18 | 80 | 11.32 | 05/05/2026 06:19 a. m.
David Young | Molly | Beagle | 18 | 80 | 10.94 | 05/05/2026 04:35 p. m.
Javier Miller | Molly | Golden Retriever | 13 | 60 | 28.34 | 26/04/2026 12:56 a. m.
Alejandro Wright | Duke | Siberian Husky | 18 | 80 | 22.89 | 30/04/2026 06:09 p. m.
Oliver Allen | Lola | Golden Retriever | 18 | 80 | 23.46 | 20/04/2026 10:23 a. m.
Charles Allen | Bruno | French Bulldog | 18 | 80 | 8.04 | 04/05/2026 02:34 a. m.
benjamin king | Rocky | German Shepherd | 2 | 19 | 20.89 | 26/04/2026 09:33 a. m.
Daniela Miller | Bruno | Siberian Husky | 16 | 72 | 23.88 | 26/04/2026 08:16 p. m.
Adela Allen | Bella | German Shepherd | 11 | 52 | 19.14 | 04/05/2026 01:23 p. m.
Steven Miller | Luna | Siberian Husky | 7 | 39 | 26.77 | 25/04/2026 02:55 a. m.
Amelia King | Rocky | Chihuahua | 3 | 23 | 1.51 | 22/04/2026 02:32 p. m.
Barbara Brown | Jack | Golden Retriever | 4 | 27 | 25.07 | 13/04/2026 05:14 p. m.
BENJAMIN JACKSON | bruno | Dachshund | 14 | 64 | 8.66 | 20/04/2026 04:54 a. m.
Isabella Wilson | JACK | Dachshun | 3 | 23 | 19.84 | 24/04/2026 12:01 a. m.
Paul Thompson | Lola | French Bulldog | 11 | 52 | 10.67 | 30/04/2026 12:15 a. m.
Kenneth Miller | Toby | Poodle | 18 | 80 | 13.67 | 14/04/2026 03:53 p. m.
Steven Thomas | Cooper | Beagle | 18 | 80 | 8.17 | 12/04/2026 10:22 a. m.
Lucas Wright | Jack | Poodle | 15 | 68 | 10.72 | 12/04/2026 07:03 p. m.
Amelia Miller | Daisy | French Bulldog | 18 | 80 | 9.97 | 29/04/2026 11:57 p. m.
Sebastian Miller | Zeus | Beaggle | 18 | 80 | 12.51 | 16/04/2026 08:19 a. m.
Victoria Scott | Lola | Golden Retriever | 18 | 80 | 20.47 | 25/04/2026 07:37 a. m.
Nancy Perez | Daisy | Siberian Husky | 0 | 0 | 23.45 | 15/04/2026 04:45 p. m.
Isabella Perez | Luna | French Bulldog | 7 | 39 | 8.81 | 27/04/2026 06:13 p. m.
Mariana Young | Duke | Golden Retrevier | 18 | 80 | 22.39 | 11/04/2026 06:14 a. m.
Sarah Miller | Bruno | Golden Retriever | 18 | 80 | 26.43 | 06/05/2026 09:52 a. m.
Beatriz Torres | Luna | German Shepherd | 9 | 47 | 20.5 | 26/04/2026 04:57 p. m.
Mariana Hernandez | Thor | French Bulldog | 18 | 80 | 11.49 | 21/04/2026 01:36 a. m.
Jennifer Taylor | JACK | Dachshund | 17 | 76 | 8.11 | 21/04/2026 08:37 a. m.
Emma Wilson | Bruno | French Bulldog | 2 | 19 | 9.79 | 14/04/2026 10:08 a. m.
Sofía Sanchez | Luna | Poodle | 18 | 80 | 15.29 | 20/04/2026 12:44 p. m.
Adela Lopez | Thor | Siberian Husky | 18 | 80 | 26.21 | 20/04/2026 12:10 p. m.
Amelia Wilson | Thor | Chihuahua | 9 | 47 | 2.54 | 22/04/2026 09:25 p. m.
Valeria Rodriguez | Luna | Chihuahua | 0 | 0 | 2.82 | 14/04/2026 02:59 p. m.
Nancy Martin | thor | Beagle | 7 | 39 | 13.09 | 29/04/2026 08:39 p. m.
Steven Gonzalez | max | Siberian Husky | 7 | 39 | 24.8 | 02/05/2026 04:57 a. m.
Benjamin Johnson | Molly | Chihuahua | 18 | 80 | 1.72 | 15/04/2026 02:00 a. m.
Thomas Allen | Daisy | Siberian Huski | 9 | 47 | 8.98 | 03/05/2026 02:19 p. m.
Harper Perez | Coco | Beagle | 16 | 72 | 9.91 | 26/04/2026 06:59 p. m.
Beatriz Taylor | Duke | Siberian Husky | 4 | 27 | 23.39 | 14/04/2026 12:12 a. m.
Amelia Smith | Bruno | Beagle | 18 | 80 | 9.23 | 30/04/2026 07:25 a. m.
Emma Gonzalez | Toby | Dachshund | 12 | 56 | 9.29 | 03/05/2026 01:39 a. m.
Adela Smith | Lola | Chihuaua | 18 | 80 | 12.85 | 01/05/2026 05:39 a. m.
Emma Smith | Lola | Beagle | 14 | 64 | 13.41 | 25/04/2026 06:22 p. m.
Mark Taylor | Daisy | chihuahua | 8 | 43 | 2.77 | 19/04/2026 04:39 a. m.
Diego Thomas | Lola | siberian husky | 18 | 80 | 25.26 | 23/04/2026 03:00 a. m.
Ricardo Torres | Jack | French Bulldog | 0 | 0 | 11.57 | 19/04/2026 06:13 p. m.
Camila Taylor | Bella | siberian husky | 15 | 68 | 24.32 | 21/04/2026 05:28 p. m.
Oliver Garcia | Rocky | Dachshund | 18 | 80 | 6.51 | 22/04/2026 04:53 p. m.
Ximena Thompson | Rocky | Poodle | 10 | 48 | 11.46 | 22/04/2026 08:35 p. m.
Sebastian Sanchez | Duke | Beagle | 15 | 68 | 13.95 | 04/05/2026 04:48 p. m.
SARAH DAVIS | Bella | German Shepherd | 1 | 13 | 28.06 | 25/04/2026 08:22 a. m.
Amelia Lopez | Max | German Shepherd | 13 | 60 | 25.24 | 15/04/2026 12:56 p. m.
Barbara Miller | thor | Chiuahua | 5 | 31 | 12.4 | 22/04/2026 09:00 a. m.
Ximena Torres | Jack | Dachshund | 18 | 80 | 4.02 | 02/05/2026 03:27 a. m.
Steven King | Max | French Bull dog | 17 | 76 | 12.42 | 26/04/2026 10:16 p. m.
christopher allen | Toby | SIBERIAN HUSKEY | 18 | 80 | 19.11 | 17/04/2026 12:33 a. m.
Noah Smith | LUNA | Golden Retrevier | 8 | 43 | 28.6 | 06/05/2026 02:09 a. m.
Benjamin Taylor | Thor | Beagle | 18 | 80 | 12.66 | 15/04/2026 11:05 a. m.
Valeria Harris | zeus | Siberian Husky | 18 | 80 | 22.82 | 07/05/2026 01:20 p. m.
Joseph Miller | Max | Chihuaua | 3 | 23 | 6.88 | 28/04/2026 10:16 p. m.
Mia Sanchez | Thor | German Shepherd | 18 | 80 | 22.34 | 01/05/2026 04:58 a. m.
